dataset_name,query_basename,total_rows,core_instances
dataset_test2,query_cycle_10_144.graph,128,128
dataset_test2,query_cycle_10_158.graph,44,44
dataset_test2,query_cycle_10_61.graph,50,50
dataset_test2,query_cycle_10_62.graph,1009,1009
dataset_test2,query_cycle_10_63.graph,56,56
dataset_test2,query_cycle_10_66.graph,174,174
dataset_test2,query_cycle_10_67.graph,54,54
dataset_test2,query_cycle_10_69.graph,213,213
dataset_test2,query_cycle_10_71.graph,121,121
dataset_test2,query_cycle_10_72.graph,416,416
dataset_test2,query_cycle_10_74.graph,855,855
dataset_test2,query_cycle_10_75.graph,447,447
dataset_test2,query_cycle_10_76.graph,42,42
dataset_test2,query_cycle_10_8.graph,70,70
dataset_test2,query_cycle_10_81.graph,678,678
dataset_test2,query_cycle_10_82.graph,221,221
dataset_test2,query_cycle_10_83.graph,202,202
dataset_test2,query_cycle_10_84.graph,32,32
dataset_test2,query_cycle_10_87.graph,35,35
dataset_test2,query_cycle_10_88.graph,605,605
dataset_test2,query_cycle_10_89.graph,41,41
dataset_test2,query_cycle_10_92.graph,81,81
dataset_test2,query_cycle_10_93.graph,46,46
dataset_test2,query_cycle_10_94.graph,32,32
dataset_test2,query_cycle_10_98.graph,524,524
dataset_test2,query_cycle_12_104.graph,55,55
dataset_test2,query_cycle_12_108.graph,533,533
dataset_test2,query_cycle_12_109.graph,272,272
dataset_test2,query_cycle_12_113.graph,163,163
dataset_test2,query_cycle_12_115.graph,36,36
dataset_test2,query_cycle_12_118.graph,448,448
dataset_test2,query_cycle_12_123.graph,35,35
dataset_test2,query_cycle_12_127.graph,273,273
dataset_test2,query_cycle_12_129.graph,888,888
dataset_test2,query_cycle_12_130.graph,193,193
dataset_test2,query_cycle_12_131.graph,94,94
dataset_test2,query_cycle_12_132.graph,218,218
dataset_test2,query_cycle_12_133.graph,93,93
dataset_test2,query_cycle_12_198.graph,73,73
dataset_test2,query_cycle_12_202.graph,33,33
dataset_test2,query_cycle_12_212.graph,47,47
dataset_test2,query_cycle_12_56.graph,32,32
dataset_test2,query_cycle_4_0.graph,1096,1096
dataset_test2,query_cycle_4_1.graph,1424,1424
dataset_test2,query_cycle_4_11.graph,1518,1518
dataset_test2,query_cycle_4_12.graph,1756,1756
dataset_test2,query_cycle_4_151.graph,4356,4356
dataset_test2,query_cycle_4_152.graph,4322,4322
dataset_test2,query_cycle_4_153.graph,4060,4060
dataset_test2,query_cycle_4_154.graph,1537,1537
dataset_test2,query_cycle_4_155.graph,3478,3478
dataset_test2,query_cycle_4_156.graph,4301,4301
dataset_test2,query_cycle_4_157.graph,1396,1396
dataset_test2,query_cycle_4_158.graph,3464,3464
dataset_test2,query_cycle_4_159.graph,4351,4351
dataset_test2,query_cycle_4_16.graph,1963,1963
dataset_test2,query_cycle_4_160.graph,3451,3451
dataset_test2,query_cycle_4_161.graph,1821,1821
dataset_test2,query_cycle_4_162.graph,3495,3495
dataset_test2,query_cycle_4_163.graph,4079,4079
dataset_test2,query_cycle_4_165.graph,3470,3470
dataset_test2,query_cycle_4_166.graph,3546,3546
dataset_test2,query_cycle_4_167.graph,3440,3440
dataset_test2,query_cycle_4_168.graph,3362,3362
dataset_test2,query_cycle_4_169.graph,4137,4137
dataset_test2,query_cycle_4_170.graph,3486,3486
dataset_test2,query_cycle_4_171.graph,3379,3379
dataset_test2,query_cycle_4_172.graph,3550,3550
dataset_test2,query_cycle_4_173.graph,4295,4295
